dataset,group,n,acc_sa_global,acc_ea_global,nll_sa_global,nll_ea_global,mean_ptrue_sa,mean_ptrue_ea,mean_neff_sa,mean_neff_ea,mean_purity_sa,mean_purity_ea,n_eff_sa_global,n_eff_ea_full_global,n_eff_ea_row_global,n_eff_ea_icl_global,pur_sa_top1_global,pur_sa_topk_global,pur_ea_full_top1_global,pur_ea_full_topk_global,pur_ea_row_top1_global,pur_ea_row_topk_global,pur_ea_icl_top1_global,pur_ea_icl_topk_global,ea_strength,n_estimators,seed,sa_checkpoint,ea_checkpoint
cmc,SA_only,16,0.5610859728506787,0.5520361990950227,0.8839736029601707,0.8835240190365335,0.419259250164032,0.376497745513916,719.8456420898438,716.1995849609375,0.375,0.32499999999999996,575.5072021484375,633.461669921875,307.6510314941406,740.2144775390625,0.24434389140271492,0.28009049773755657,0.3552036199095023,0.3592760180995475,0.41855203619909503,0.4434389140271493,0.21040723981900453,0.2574660633484163,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
cmc,EA_only,12,0.5610859728506787,0.5520361990950227,0.8839736029601707,0.8835240190365335,0.38606691360473633,0.4401329457759857,741.8847045898438,769.4038696289062,0.3166666666666667,0.3333333333333333,575.5072021484375,633.461669921875,307.6510314941406,740.2144775390625,0.24434389140271492,0.28009049773755657,0.3552036199095023,0.3592760180995475,0.41855203619909503,0.4434389140271493,0.21040723981900453,0.2574660633484163,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
cmc,both_correct,232,0.5610859728506787,0.5520361990950227,0.8839736029601707,0.8835240190365335,0.6451096534729004,0.653490424156189,518.8004150390625,604.3006591796875,0.2,0.36034482758620695,575.5072021484375,633.461669921875,307.6510314941406,740.2144775390625,0.24434389140271492,0.28009049773755657,0.3552036199095023,0.3592760180995475,0.41855203619909503,0.4434389140271493,0.21040723981900453,0.2574660633484163,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
cmc,both_wrong,182,0.5610859728506787,0.5520361990950227,0.8839736029601707,0.8835240190365335,0.27172961831092834,0.26726263761520386,624.1337280273438,654.3970947265625,0.3714285714285714,0.3626373626373626,575.5072021484375,633.461669921875,307.6510314941406,740.2144775390625,0.24434389140271492,0.28009049773755657,0.3552036199095023,0.3592760180995475,0.41855203619909503,0.4434389140271493,0.21040723981900453,0.2574660633484163,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
tae,SA_only,2,0.5869565217391305,0.5652173913043478,1.2894455879074032,1.5601624250521877,0.542608916759491,0.3807879090309143,48.67213439941406,64.32286834716797,0.2,0.5,49.65843200683594,65.70970153808594,26.922382354736328,86.41011810302734,0.21739130434782608,0.3782608695652174,0.391304347826087,0.4565217391304347,0.45652173913043476,0.5217391304347828,0.2608695652173913,0.2869565217391304,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
tae,EA_only,1,0.5869565217391305,0.5652173913043478,1.2894455879074032,1.5601624250521877,0.24528181552886963,0.5657994747161865,66.47782897949219,63.904090881347656,0.2,0.6,49.65843200683594,65.70970153808594,26.922382354736328,86.41011810302734,0.21739130434782608,0.3782608695652174,0.391304347826087,0.4565217391304347,0.45652173913043476,0.5217391304347828,0.2608695652173913,0.2869565217391304,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
tae,both_correct,25,0.5869565217391305,0.5652173913043478,1.2894455879074032,1.5601624250521877,0.8899824023246765,0.9135688543319702,42.84004211425781,64.82241821289062,0.4640000000000001,0.568,49.65843200683594,65.70970153808594,26.922382354736328,86.41011810302734,0.21739130434782608,0.3782608695652174,0.391304347826087,0.4565217391304347,0.45652173913043476,0.5217391304347828,0.2608695652173913,0.2869565217391304,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
tae,both_wrong,18,0.5869565217391305,0.5652173913043478,1.2894455879074032,1.5601624250521877,0.1724265217781067,0.11658428609371185,58.30360412597656,67.19644165039062,0.288888888888889,0.288888888888889,49.65843200683594,65.70970153808594,26.922382354736328,86.41011810302734,0.21739130434782608,0.3782608695652174,0.391304347826087,0.4565217391304347,0.45652173913043476,0.5217391304347828,0.2608695652173913,0.2869565217391304,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
pm10,SA_only,9,0.64,0.6266666666666667,0.6371360178095009,0.6882357494445602,0.5557714104652405,0.41548609733581543,325.7940979003906,294.4525146484375,0.4888888888888888,0.6888888888888888,304.73931884765625,286.4313659667969,72.67500305175781,315.875,0.48,0.47866666666666674,0.42,0.4826666666666667,0.48,0.5373333333333333,0.5066666666666667,0.5026666666666667,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
pm10,EA_only,7,0.64,0.6266666666666667,0.6371360178095009,0.6882357494445602,0.4419457018375397,0.5943967700004578,320.1847839355469,294.6456604003906,0.5714285714285714,0.2571428571428572,304.73931884765625,286.4313659667969,72.67500305175781,315.875,0.48,0.47866666666666674,0.42,0.4826666666666667,0.48,0.5373333333333333,0.5066666666666667,0.5026666666666667,1.0,4,42,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,/dss/dsshome1/0E/ra63pux2/Documents/thesis/code/tabicl-lfs/checkpoints_mini_tabicl_stage2_ea/step-1000_ea.ckpt
