dataset,context_length,acc_sa,acc_ea,f1_sa,f1_ea,nll_sa,nll_ea,ece_sa,ece_ea,seed
cmc,80,0.475,0.48333333333333334,0.4336349924585219,0.44794844794844796,1.4074398512130728,1.522464737527988,0.2877246230840683,0.27351016153891883,42
kr-vs-kp,2556,0.9953125,0.9953125,0.9953014763642236,0.9953014763642236,0.015521332594684006,0.029767775336747467,0.007615068275481486,0.019000177271664143,42
balance-scale,500,0.96,0.968,0.9128387211455596,0.9326441102756893,0.13553010638274643,0.10332790302180855,0.05780227661132813,0.024508523941040035,42
breast-w,559,0.9857142857142858,0.9785714285714285,0.9843014128728415,0.9763393611627513,0.0526195888283202,0.056451647330982055,0.011014053651264712,0.018375729237283953,42
cmc,1178,0.6067796610169491,0.5898305084745763,0.5886140263201732,0.5702976612772738,0.8651554004781266,0.8687189929525624,0.07316890399334793,0.06247424452991809,42
credit-approval,552,0.8623188405797102,0.8768115942028986,0.8606727243743026,0.8753387533875339,0.3617913621865676,0.33383875749160097,0.05490465570187225,0.06413716898448228,42
credit-g,800,0.77,0.78,0.6973285958678774,0.6894409937888198,0.49772772502175755,0.49996947388482965,0.08718339830636977,0.09266988724470139,42
diabetes,614,0.7467532467532467,0.7272727272727273,0.7065520105535741,0.6857142857142857,0.5019848061176687,0.538031977067102,0.06128227323680731,0.07541955020520597,42
spambase,3680,0.9457111834961998,0.9446254071661238,0.9432176889537751,0.9421639838402445,0.12949053984155975,0.132663102852713,0.015581392698256891,0.01943187164820238,42
tic-tac-toe,766,1.0,0.9947916666666666,1.0,0.9942485696312494,0.010984776499430873,0.01365969974614501,0.010399198780457178,0.011812925649185976,42
vehicle,676,0.8352941176470589,0.8294117647058824,0.832788095030363,0.8282476487263721,0.283161190534452,0.28911110295917786,0.07000608654583201,0.0517971256200005,42
cmc,60,0.4888888888888889,0.5444444444444444,0.4486292949781793,0.5057239057239057,1.3866443232069314,1.490266881152913,0.2468076056904263,0.26422483523686724,42
cmc,60,0.35555555555555557,0.36666666666666664,0.3648323423532743,0.36955680115807366,1.7079291169368,1.679680591486676,0.3717820869551765,0.3890391512049568,43
cmc,60,0.4444444444444444,0.4888888888888889,0.43336593635889414,0.47441463946549295,1.4489435239838608,1.3701858649206113,0.2485073639286889,0.2247343526946174,44
kr-vs-kp,2556,0.9953125,0.9953125,0.9953014763642236,0.9953014763642236,0.015521332594684006,0.029767775336747467,0.007615068275481486,0.019000177271664143,42
cmc,60,0.4888888888888889,0.5444444444444444,0.4486292949781793,0.5057239057239057,1.3866443232069314,1.490266881152913,0.2468076056904263,0.26422483523686724,42
cmc,60,0.35555555555555557,0.36666666666666664,0.3648323423532743,0.36955680115807366,1.7079291169368,1.679680591486676,0.3717820869551765,0.3890391512049568,43
cmc,60,0.4444444444444444,0.4888888888888889,0.43336593635889414,0.47441463946549295,1.4489435239838608,1.3701858649206113,0.2485073639286889,0.2247343526946174,44
kr-vs-kp,2556,0.9953125,0.9953125,0.9953014763642236,0.9953014763642236,0.015521332594684006,0.029767775336747467,0.007615068275481486,0.019000177271664143,42
balance-scale,500,0.96,0.968,0.9128387211455596,0.9326441102756893,0.13553010638274643,0.10332790302180855,0.05780227661132813,0.024508523941040035,42
breast-w,559,0.9857142857142858,0.9785714285714285,0.9843014128728415,0.9763393611627513,0.0526195888283202,0.056451647330982055,0.011014053651264712,0.018375729237283953,42
cmc,1178,0.6067796610169491,0.5898305084745763,0.5886140263201732,0.5702976612772738,0.8651554004781266,0.8687189929525624,0.07316890399334793,0.06247424452991809,42
credit-approval,552,0.8623188405797102,0.8768115942028986,0.8606727243743026,0.8753387533875339,0.3617913621865676,0.33383875749160097,0.05490465570187225,0.06413716898448228,42
credit-g,800,0.77,0.78,0.6973285958678774,0.6894409937888198,0.49772772502175755,0.49996947388482965,0.08718339830636977,0.09266988724470139,42
diabetes,614,0.7467532467532467,0.7272727272727273,0.7065520105535741,0.6857142857142857,0.5019848061176687,0.538031977067102,0.06128227323680731,0.07541955020520597,42
spambase,3680,0.9457111834961998,0.9446254071661238,0.9432176889537751,0.9421639838402445,0.12949721054148258,0.13265880165608096,0.015580871012001155,0.01943163523585997,42
tic-tac-toe,766,1.0,0.9947916666666666,1.0,0.9942485696312494,0.010984776499430873,0.01365969974614501,0.010399198780457178,0.011812925649185976,42
vehicle,676,0.8352941176470589,0.8294117647058824,0.832788095030363,0.8282476487263721,0.283161190534452,0.28911110295917786,0.07000608654583201,0.0517971256200005,42
kr-vs-kp,2556,0.996875,0.9890625,0.9968698340033845,0.989042998892071,0.02010372800800127,0.04025975066781152,0.010827405191957948,0.020948231033980844,43
balance-scale,500,0.968,0.96,0.9276458311471778,0.9127329192546584,0.15288875675077288,0.11378072741495632,0.06687044382095338,0.03844738030433655,43
breast-w,559,0.9571428571428572,0.9428571428571428,0.9537343027098479,0.9388111888111889,0.17855177490267068,0.18367892427875662,0.0359072655439377,0.037914353609085065,43
cmc,1178,0.5491525423728814,0.576271186440678,0.5257784419226424,0.5550924699061247,0.9078704738898618,0.9096490952473988,0.07453806885218218,0.09044510186728785,43
credit-approval,552,0.8840579710144928,0.8623188405797102,0.8824781775601447,0.8596585130867633,0.42621939497144673,0.43371963573125955,0.09623604062674704,0.10404619272204413,43
credit-g,800,0.755,0.76,0.6796443398385146,0.6756318421408298,0.5102331237258937,0.47927723881526413,0.07159543633460998,0.053214673995971705,43
diabetes,614,0.7272727272727273,0.6883116883116883,0.6951357466063348,0.6408163265306123,0.5281079920486672,0.5531809696835602,0.09916987357201514,0.12527928723917378,43
spambase,3680,0.9609120521172638,0.9609120521172638,0.9590379426560848,0.9591554153937124,0.13265473116282042,0.12840476354021624,0.009497705487034831,0.010661620076393893,43
